CODE,DATE,GENERATION,YEAR,LOCATION,TREE,TREE WRIENTATIWN,PLANT PART,TREATMENT,INITIAL N1,SURVIVORS,PREDATED SCALES,PARASITISED SCALES,MORTALITY,PARASITISM,CORRECTED MORTALITY,,,,,
MF6N,9/16/14,2nd,1,IVIA,6,N,Fruit,Semi_Exclusion,21,4,17,0,81.0,0.0,52.23,,,,,
MF6S,9/16/14,2nd,1,IVIA,6,S,Fruit,Exclusion,12,3,9,1,75.0,8.3,37.30,,,,,
MF7E,9/16/14,2nd,1,IVIA,7,E,Fruit,Semi_Exclusion,20,6,14,0,70.0,0.0,24.76,,,,,
MF7N,9/16/14,2nd,1,IVIA,7,N,Fruit,Exclusion,14,10,4,0,28.6,0.0,-79.14,,,,,
MF7O,9/16/14,2nd,1,IVIA,7,W,Fruit,Semi_Exclusion,36,3,33,0,91.7,0.0,79.10,,,,,
MF7S,9/16/14,2nd,1,IVIA,7,S,Fruit,Semi_Exclusion,32,0,32,0,100.0,0.0,100.00,,,,,
MF8E,9/16/14,2nd,1,IVIA,8,E,Fruit,Exclusion,28,9,19,0,67.9,0.0,19.39,,,,,
MF8O,9/16/14,2nd,1,IVIA,8,W,Fruit,Predation,10,0,10,0,100.0,0.0,100.00,,,,,
MF9E,9/16/14,2nd,1,IVIA,9,E,Fruit,Semi_Exclusion,10,3,7,0,70.0,0.0,24.76,,,,,
MF10E,9/16/14,2nd,1,IVIA,10,E,Fruit,Predation,12,2,10,0,83.3,0.0,58.20,,,,,
MF10O,9/16/14,2nd,1,IVIA,10,W,Fruit,Exclusion,27,9,18,0,66.7,0.0,16.40,,,,,
MF10S,9/16/14,2nd,1,IVIA,10,S,Fruit,Exclusion,21,19,2,0,9.5,0.0,-126.91,,,,,
MF11E,9/16/14,2nd,1,IVIA,11,E,Fruit,Predation,13,9,4,0,30.8,0.0,-73.63,,,,,
MF11N,9/16/14,2nd,1,IVIA,11,N,Fruit,Semi_Exclusion,16,3,13,0,81.3,0.0,52.98,,,,,
MF12N,9/16/14,2nd,1,IVIA,12,N,Fruit,Exclusion,32,21,11,0,34.4,0.0,-64.58,,,,,
MF12O,9/16/14,2nd,1,IVIA,12,W,Fruit,Predation,17,0,17,0,100.0,0.0,100.00,,,,,
MF12S,9/16/14,2nd,1,IVIA,12,S,Fruit,Semi_Exclusion,26,1,25,0,96.2,0.0,90.35,,,,,
MF13E,9/16/14,2nd,1,IVIA,13,E,Fruit,Predation,32,2,30,1,93.8,3.1,84.33,,,,,
MF13N,9/16/14,2nd,1,IVIA,13,N,Fruit,Exclusion,20,20,0,0,0.0,0.0,-150.79,,,,,
MF13O,9/16/14,2nd,1,IVIA,13,W,Fruit,Exclusion,16,2,14,0,87.5,0.0,68.65,,,,,
MH2O,12/2/14,3rd,1,Algimia,2,W,Leaf,Predation,30,0,30,0,100.0,0.0,100.00,,,,,
MH3N,12/2/14,3rd,1,Algimia,3,N,Leaf,Predation,17,1,16,0,94.1,0.0,84.47,,,,,
MH5O,12/2/14,3rd,1,Algimia,5,W,Leaf,Predation,17,0,17,1,100.0,5.9,100.00,,,,,
MH5S,12/2/14,3rd,1,Algimia,5,S,Leaf,Semi_Exclusion,15,2,13,0,86.7,0.0,64.81,,,,,
MH6E,12/2/14,3rd,1,Algimia,6,E,Leaf,Exclusion,16,1,15,0,93.8,0.0,83.50,,,,,
MH6N,12/2/14,3rd,1,Algimia,6,N,Leaf,Predation,14,0,14,2,100.0,14.3,100.00,,,,,
MH6S,12/2/14,3rd,1,Algimia,6,S,Leaf,Exclusion,12,2,10,0,83.3,0.0,56.01,,,,,
MH7E,12/2/14,3rd,1,Algimia,7,E,Leaf,Predation,14,0,14,0,100.0,0.0,100.00,,,,,
MH7O,12/2/14,3rd,1,Algimia,7,W,Leaf,Exclusion,19,13,6,0,31.6,0.0,-80.58,,,,,
MH7S,12/2/14,3rd,1,Algimia,7,S,Leaf,Predation,36,0,36,0,100.0,0.0,100.00,,,,,
MH8E,12/2/14,3rd,1,Algimia,8,E,Leaf,Semi_Exclusion,11,0,11,0,100.0,0.0,100.00,,,,,
MH8N,12/2/14,3rd,1,Algimia,8,N,Leaf,Exclusion,17,0,17,4,100.0,23.5,100.00,,,,,
MH9O,12/2/14,3rd,1,Algimia,9,W,Leaf,Semi_Exclusion,39,11,28,3,71.8,7.7,25.56,,,,,
MH10N,12/2/14,3rd,1,Algimia,10,N,Leaf,Semi_Exclusion,12,0,12,0,100.0,0.0,100.00,,,,,
MH10O,12/2/14,3rd,1,Algimia,10,W,Leaf,Exclusion,22,3,19,4,86.4,18.2,64.01,,,,,
MH10S,12/2/14,3rd,1,Algimia,10,S,Leaf,Predation,19,0,19,0,100.0,0.0,100.00,,,,,
